flare;radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta
0;69;14;10;0.00000001;0;1;0;0;0;0;0;0
0;70;14;10;0.00000001;0;1;0;0;0;0;0;0
0;72;34;40;0.00000001;0;1;0;0;0;0;0;0
0;72;23;40;0.000000014;0;1;0;0;0;0;0;0
0;72;19;30;0.000000021;0;1;0;0;0;0;0;0
0;71;26;10;0.000000014;0;1;0;0;0;0;0;0
0;70;24;0;0.00000001;1;1;0;0;0;0;0;0
0;70;0;0;0.000000057;1;0;0;0;0;0;0;0
0;70;0;0;0.00000001;0;0;0;0;0;0;0;0
0;70;12;10;0.00000001;0;0;0;0;0;0;0;0
0;69;12;0;0.00000001;0;1;0;0;0;0;0;0
0;70;12;0;0.00000001;1;0;0;0;0;0;0;0
0;70;11;0;0.00000001;1;0;0;0;0;0;0;0
0;68;11;0;0.00000001;1;0;0;0;0;0;0;0
0;70;26;30;0.00000001;1;0;0;0;0;0;0;0
0;70;25;10;0.00000001;0;1;0;0;0;0;0;0
0;70;31;50;0.00000001;0;1;0;0;0;0;0;0
0;69;17;10;0.00000001;0;1;0;0;0;0;0;0
0;69;0;0;0.00000001;0;1;0;0;0;0;0;0
0;67;0;0;0.00000001;0;0;0;0;0;0;0;0
0;67;0;0;0.00000001;0;0;0;0;0;0;0;0
0;68;11;10;0.00000001;0;0;0;0;0;0;0;0
0;69;0;0;0.00000001;1;0;0;0;0;0;0;0
0;70;0;0;0.00000001;0;0;0;0;0;0;0;0
0;70;11;0;0.00000001;0;0;0;0;0;0;0;0
0;70;11;0;0.00000001;1;0;0;0;0;0;0;0
0;71;0;0;0.00000001;1;0;0;0;0;0;0;0
0;71;12;10;0.00000001;0;0;0;0;0;0;0;0
0;71;0;0;0.000000043;0;1;0;0;0;0;0;0
0;72;11;10;0.00000001;0;0;0;0;0;0;0;0
0;76;31;60;0.000000017;1;0;0;0;0;0;0;0
0;79;44;90;0.000000039;0;1;0;0;0;0;0;0
0;80;65;200;0.00000011;1;1;0;1;0;0;0;0
0;77;58;180;0.00000011;0;1;0;1;0;0;0;0
0;75;53;180;0.00000004;1;1;0;0;0;0;0;0
0;74;26;10;0.000000033;1;1;0;0;0;0;0;0
0;73;24;0;0.000000045;1;1;0;0;0;0;0;0
0;71;12;0;0.000000019;0;1;0;0;0;0;0;0
0;70;0;0;0.00000001;1;0;0;0;0;0;0;0
0;71;0;0;0.00000001;0;0;0;0;0;0;0;0
0;71;11;10;0.000000011;0;0;0;0;0;0;0;0
0;72;27;30;0.00000001;1;0;0;0;0;0;0;0
0;73;12;20;0.00000001;1;1;0;0;0;0;0;0
0;75;39;30;0.00000001;1;0;0;0;0;0;0;0
0;77;45;120;0.000000028;1;1;0;0;0;0;0;0
0;78;55;140;0.00000002;1;1;0;0;0;0;0;0
0;78;65;230;0.000000041;1;1;0;0;0;0;0;0
0;78;61;90;0.000000073;1;1;0;0;0;0;0;0
0;78;31;40;0.0000002;1;1;0;0;0;0;0;0
0;80;53;220;0.00000022;0;1;0;0;0;0;0;0
0;81;57;140;0.000000079;1;1;0;0;0;0;0;0
0;82;61;180;0.000000053;1;1;0;0;0;0;0;0
0;80;49;140;0.000000059;1;1;0;0;0;0;0;0
0;78;60;120;0.000000036;1;1;0;0;0;0;0;0
0;78;33;100;0.000000043;1;1;0;0;0;0;0;0
0;76;23;60;0.000000053;1;0;0;0;0;0;0;0
0;76;11;60;0.000000017;1;0;0;0;0;0;0;0
0;74;11;60;0.000000013;1;0;0;0;0;0;0;0
0;75;11;50;0.00000001;1;0;0;0;0;0;0;0
0;75;11;60;0.000000015;1;0;0;0;0;0;0;0
0;76;30;190;0.000000042;1;0;0;0;0;0;0;0
0;77;11;20;0.00000008;1;0;0;0;0;0;0;0
0;78;0;0;0.000000053;1;0;0;0;0;0;0;0
0;82;32;90;0.000000059;0;0;0;0;0;0;0;0
0;84;30;160;0.00000014;0;1;0;0;0;0;0;0
0;82;33;110;0.000000072;1;1;0;0;0;0;0;0
0;91;61;220;0.00000012;1;1;0;0;0;0;0;0
1;92;67;280;0.0000002;1;0;0;1;0;0;0;0
0;92;69;220;0.00000077;1;0;0;1;0;0;0;0
0;96;80;240;0.00000013;0;1;0;1;0;0;0;0
0;93;90;240;0.00000019;1;1;0;0;0;0;0;0
1;92;67;240;0.00000012;1;0;0;1;0;0;0;0
